50px 	Рогатин 	Івано-Франківська область 	8 607 	1184 	15.00
50px 	Родинське 	Донецька область 	11 996 	1950 	6.70
50px 	Рожище 	Волинська область 	13 636 	1377 	10.00
50px 	Роздільна 	Одеська область 	17 754 	1863 	7.20
50px 	Ромни 	Сумська область 	50 448 	1096 [1] 	26.70
50px 	Рубіжне 	Луганська область 	65 322 	1895 	33.76
50px 	Рудки 	Львівська область 	4 942 	1472 	3.80
50px 	Саки 	Автономна Республіка Крим 	29 416 	Шаблон:Sort 	28.74
50px 	Самбір 	Львівська область 	36 556 	1241 	24.00
50px 	Сарни 	Рівненська область 	28 144 	1648 [1] 	21.15
50px 	Свалява 	Закарпатська область 	17 145 	Шаблон:Sort 	10.50
50px 	Сватове 	Луганська область 	19 495 	1660-ті 	27.00
50px 	Світловодськ 	Кіровоградська область 	50 094 	1954 	45.00
50px 	Світлодарськ 	Донецька область 	13 184 	1970 	2.12
50px 	Святогірськ 	Донецька область 	5 136 	1571 	8.26
50px 	Севастополь 	м. Севастополь, міськрада 	342 451 	1783 	864.00
50px 	Селидове 	Донецька область 	26 793 	1770 	10.80
50px 	Семенівка 	Чернігівська область 	9 656 	1680 	19.90
50px 	Середина-Буда 	Сумська область 	7 511 	1650 	27.00
50px 	Сєвєродонецьк 	Луганська область 	119 940 	1934 	74.60
50px 	Синельникове 	Дніпропетровська область 	32 302 	Шаблон:Sort 	23.00
50px 	Сіверськ 	Донецька область 	14 393 	1913 	12.50
50px 	Сімферополь 	Автономна Республіка Крим 	343 644 	1784 	107.41
50px 	Скадовськ 	Херсонська область 	19 641 	1894 	14.30
50px 	Скалат 	Тернопільська область 	4 036 	1512 	6.00
50px 	Сквира 	Київська область 	18 126 	1390 	63.28
50px 	Сколе 	Львівська область 	6 742 	Шаблон:Sort 	4.59
50px 	Славута 	Хмельницька область 	34 340 	Шаблон:Sort 	20.00
50px 	Славутич 	Київська область 	24 402 	1986 	20.83
50px 	Слов'янськ 	Донецька область 	124 829 	1645 	60.80
50px 	Сміла 	Черкаська область 	69 681 	1542 	39.85
50px 	Снігурівка 	Миколаївська область 	15 447 	1812 	7.58
50px 	Сніжне 	Донецька область 	58 496 	1784 	18.90
50px 	Сновськ 	Чернігівська область 	12 315 	1860 	12.80
50px 	Снятин 	Івано-Франківська область 	10 479 	1158 	35.29
50px 	Сокаль 	Львівська область 	21 693 	1377 [1] 	8.47
50px 	Сокиряни 	Чернівецька область 	10 258 	1610 	14.80
50px 	Соледар 	Донецька область 	13 151 	Шаблон:Sort 	14.10
50px 	Сорокине 	Луганська область 	50 560 	1914 	77.33
50px 	Соснівка 	Львівська область 	11 889 	1955 	1.98
50px 	Старий Крим 	Автономна Республіка Крим 	10 101 	Шаблон:Sort 	10.00
50px 	Старий Самбір 	Львівська область 	5 706 	1199 	14.50
50px 	Старобільськ 	Луганська область 	22 371 	1686 	13.32
50px 	Старокостянтинів 	Хмельницька область 	35 206 	1561 	40.00
50px 	Стебник 	Львівська область 	20 863 	1596 	8.90
50px 	Сторожинець 	Чернівецька область 	14 693 	1448 	5.80
50px 	Стрий 	Львівська область 	62 479 	1385 [1] 	16.95
50px 	Судак 	Автономна Республіка Крим 	14 495 	212 	14.30
50px 	Судова Вишня 	Львівська область 	6 668 	1230 	28.10
50px 	Суми 	Сумська область 	293 141 	1652 	95.40
50px 	Суходільськ 	Луганська область 	23 642 	1914 	10.00
50px 	Таврійськ 	Херсонська область 	11 452 	1983 	14.90
50px 	Тальне 	Черкаська область 	16 388 	Шаблон:Sort 	161.00
50px 	Тараща 	Київська область 	13 452 	1709 	36.96
50px 	Татарбунари 	Одеська область 	10 797 	Шаблон:Sort 	28.50
50px 	Теплодар 	Одеська область 	8 830 	1983 	3.00
50px 	Теребовля 	Тернопільська область 	13 661 	1097 [1] 	11.00
50px 	Тернівка 	Дніпропетровська область 	29 226 	1775 	18.00
50px 	Тернопіль 	Тернопільська область 	227 755 	1540 	72.00
50px 	Тетіїв 	Київська область 	14 944 	1185 	13.04
50px 	Тисмениця 	Івано-Франківська область 	9 790 	Шаблон:Sort 	38.00
50px 	Тлумач 	Івано-Франківська область 	8 831 	1213 	19.57
50px 	Токмак 	Запорізька область 	36 275 	1784 	32.46
50px 	Торецьк 	Донецька область 	43 371 	1806 	21.43
50px 	Тростянець 	Сумська область 	23 308 	1660 	26.63
50px 	Трускавець 	Львівська область 	31 037 	1469 [1] 	7.00
50px 	Тульчин 	Вінницька область 	16 136 	1607 	9.26
50px 	Турка 	Львівська область 	7 681 	Шаблон:Sort 	3.00
50px 	Тячів 	Закарпатська область 	9 786 	1329 	27.00
50px 	Угнів 	Львівська область 	1 021 	1360 [1] 	2.48
50px 	Ужгород 	Закарпатська область 	117 317 	Шаблон:Sort 	65.00
50px 	Узин 	Київська область 	13 217 	1590 	80.00
50px 	Українка 	Київська область 	14 163 	Шаблон:Sort [1] 	5.91
50px 	Українськ 	Донецька область 	13 236 	1952 	4.20
50px 	Умань 	Черкаська область 	88 735 	1616 	41.00
50px 	Устилуг 	Волинська область 	2 283 	1150 	4.00
